,Age,Gender,City,yearsExperience,SeniorityLevel,salary,MainLanguage,CompanySize,CompanyType
1104,32,M,Vienna,12,Lead,80000,English,1000+,Product
1105,34,M,Berlin,13,Senior,70000,English,100-1000,Product
1107,45,M,Berlin,14,Middle,34446,English,50-100,Product
1113,36,M,Kyiv,3,Middle,38400,Russian,1000+,Bodyshop / Outsource
1115,35,M,Frankfurt,13,Senior,60000,Deutsch,10-50,Startup
1116,32,F,Munich,8,Senior,62000,English,1000+,Product
1117,29,M,Munich,8,Middle,65000,English,100-1000,Product
1119,33,M,Munich,11,Lead,90000,English,100-1000,Product
1120,33,M,Kyiv,15,Middle,36000,Russian,10-50,Consulting / Agency
1121,39,M,Munich,15,Senior,75700,English,100-1000,Product
1122,25,F,Cologne,2,Junior,46000,Deutsch,1000+,
1123,33,F,Berlin,5,Middle,63400,English,1000+,Product
1124,35,M,Munich,16,Senior,70000,Russian,10-50,Product
1125,34,M,Berlin,9,Senior,70000,English,1000+,Product
1126,31,F,Frankfurt,7,Senior,68000,English,10-50,Startup
1128,34,M,Pforzheim,13,Senior,75000,Deutsch,50-100,Product
1129,32,M,Munich,8,Senior,100000,Deutsch,10-50,Product
1130,33,M,Munich,11,Senior,90000,English,1000+,Product
1131,44,M,Berlin,5,Senior,65000,English,10-50,Product
1132,26,M,Nuremberg,0,Junior,55000,Deutsch,,
1133,30,M,Berlin,8,Senior,90000,English,50-100,Startup
1134,37,M,Stuttgart,11,Senior,105000,Deutsch,1000+,Product
1135,24,F,Frankfurt,1,Junior,52000,Deutsch,1000+,Product
1136,27,M,Berlin,6,Senior,58000,English,100-1000,Startup
1137,30,M,Kassel ,4,Middle,55000,Deutsch,1000+,Product
1138,36,M,Munich,15,Senior,85000,English,100-1000,Consulting / Agency
1139,31,F,Munich,8,Senior,75000,English,100-1000,Startup
1140,33,M,Munich,4,Senior,60000,Deutsch,100-1000,Consulting / Agency
1143,43,M,Berlin,20,Middle,70000,English,1000+,Product
1144,40,M,Frankfurt,18,Senior,88000,English,1000+,Bodyshop / Outsource
1145,35,M,Munich,15,Senior,73000,Deutsch,1000+,Product
1147,28,M,Munich,7,Senior,74000,English,1000+,Product
1148,31,M,Munich,10,Senior,78000,English,100-1000,Startup
1149,30,M,Munich,10,Head,77000,English,50-100,Product
1152,35,F,Madrid,12,Middle,46000,Spanish,1000+,Product
1153,28,M,Berlin,6,Senior,52000,English,100-1000,Startup
1155,26,M,Frankfurt,5,Middle,65000,English,1000+,
1156,25,M,Berlin,3,Middle,55000,English,100-1000,Startup
1157,27,F,Munich,7,Senior,69000,English,1000+,Product
1158,32,M,Vienna,2,Middle,70000,English,100-1000,Product
1159,24,M,Stuttgart,2,Junior,44000,Deutsch,1000+,Product
1161,37,M,Munich,17,Senior,76500,English,100-1000,Product
1162,27,M,Berlin,6,Middle,66000,English,1000+,Product
1163,31,F,Berlin,1,Junior,52500,Deutsch,100-1000,Consulting / Agency
1164,29,F,Munich,2,Middle,57000,English,up to 10,Startup
1165,37,M,Berlin,12,Senior,70000,English,50-100,Product
1166,34,M,Berlin,8,Senior,59000,English,100-1000,Product
1170,28,F,Frankfurt,1,Junior,36000,Deutsch,10-50,Startup
1171,25,M,Karlsruhe,4,Middle,52200,Deutsch,10-50,Consulting / Agency
1176,27,M,Munich,3,Junior,50000,English,1000+,Product
1177,28,M,Munich,5,Senior,57000,English,100-1000,Product
1178,32,M,Frankfurt,3,Middle,73500,Deutsch,1000+,Product
1179,28,F,London,3,Middle,48000,English,10-50,Product
1180,29,M,Berlin,4,Middle,68000,English,1000+,Product
1181,37,M,Berlin,6,Middle,65000,English,50-100,Product
1182,34,M,Munich,12,Senior,96000,English,1000+,Product
1183,29,M,Munich,2,Junior,55000,Deutsch,10-50,Startup
1184,30,M,Hamburg,3,Senior,57000,English,100-1000,Product
1185,24,M,Amsterdam,3,Senior,75000,English,10-50,Startup
1186,26,M,Moscow,3,Middle,46000,English,1000+,Consulting / Agency
1187,28,M,Hamburg,4,Middle,65000,English,100-1000,Consulting / Agency
1188,25,M,Munich,1,Junior,48000,English,100-1000,Product
1190,35,M,Frankfurt,12,Senior,70000,Deutsch,1000+,Consulting / Agency
1191,36,M,Berlin,4,Middle,58000,Deutsch,10-50,Consulting / Agency
1192,35,M,Munich,12,Senior,75000,Deutsch,up to 10,Consulting / Agency
1193,30,F,London,3,Junior,55000,English,1000+,Product
1195,31,M,Berlin,10,Senior,106000,English,1000+,Startup
1196,31,M,Berlin,10,Senior,106000,English,1000+,Startup
1197,29,F,Berlin,7,Middle,67000,English,100-1000,Product
1198,33,M,Munich,11,Senior,67500,English,50-100,Product
1201,26,M,Berlin,3,Middle,46000,English,10-50,Product
1202,33,M,Berlin,8,Senior,75000,English,100-1000,Product
1203,29,M,Berlin,1,Junior,67000,English,1000+,Consulting / Agency
1205,34,M,Munich,7,Middle,96000,English,100-1000,Product
1206,29,F,Berlin,4,Middle,52000,English,1000+,Startup
1207,22,M,London,3,Senior,45000,English,50-100,Startup
1208,32,M,Berlin,12,Senior,80000,English,100-1000,Startup
1209,32,M,Nuremberg,2,Middle,50000,English,1000+,Consulting / Agency
1210,31,M,Munich,10,Senior,72000,Deutsch,100-1000,Consulting / Agency
1211,29,M,Hannover,4,Middle,60000,Deutsch,1000+,Product
1212,30,M,Hamburg,6,Senior,68000,English,100-1000,Product
1213,30,M,Berlin,9,Middle,68000,English,100-1000,Product
1214,29,M,Berlin,5,Middle,70000,English,100-1000,Startup
1215,30,M,Berlin,5,Senior,85000,Deutsch,1000+,
1216,43,M,Hamburg,15,Senior,54000,English,up to 10,Startup
1217,34,M,Paris,9,Senior,75000,French,10-50,Startup
1218,38,M,Berlin,4,Senior,65000,English,100-1000,Startup
1219,26,M,Stuttgart,3,Middle,67200,English,1000+,Product
1220,38,M,Hannover,5,Senior,79000,Deutsch,100-1000,Consulting / Agency
1222,30,M,Berlin,11,Senior,75000,English,10-50,Startup
1223,34,M,Cologne,8,Middle,72000,English,1000+,Product
1225,29,M,Berlin,2,Middle,53000,French,100-1000,Product
1226,26,M,Berlin,1,Junior,40000,English,1000+,University
1228,28,M,Berlin,10,Principal,110000,English,1000+,Product
1230,33,M,Berlin,11,Senior,75000,English,100-1000,Product
1232,35,M,Hamburg,10,Senior,62000,English,1000+,Product
1233,26,M,Odesa,3,Senior,45000,Russian,100-1000,Bodyshop / Outsource
1234,31,M,Berlin,6,Senior,75000,English,100-1000,Product
1235,33,F,Berlin,8,Junior,54000,English,1000+,Product
1236,31,M,Munich,11,Senior,95000,English,100-1000,Product
1238,28,M,Paris,3,Middle,39400,French,1000+,Consulting / Agency
1239,36,M,Berlin,15,Senior,75000,English,50-100,Startup
1241,39,M,Berlin,10,Senior,75000,English,1000+,Product
1242,27,F,Düsseldorf,1,Junior,45000,English,1000+,Product
1243,26,M,Berlin,6,Middle,78000,English,1000+,Product
1244,30,M,Berlin,2,Middle,55000,English,1000+,Consulting / Agency
1246,29,M,Amsterdam,4,Senior,65000,Russian,100-1000,Product
1247,38,M,Berlin,7,Senior,80000,English,100-1000,Startup
1249,35,M,Hamburg,9,Middle,105000,Deutsch,1000+,Product
1250,29,M,Berlin,8,Senior,85000,English,100-1000,Product
1251,38,M,Cork,15,Senior,100000,English,1000+,Product
1252,40,F,Berlin,18,Senior,80000,English,1000+,Product
1253,26,F,Berlin,2,Junior,47000,English,50-100,Startup
1254,27,M,Munich,3,Middle,53600,English,100-1000,Product
1255,25,M,Hamburg,4,Middle,66000,English,1000+,Product
1256,38,F,Berlin,3,Senior,62000,English,50-100,Startup
1257,32,M,Berlin,4,Senior,87000,English,1000+,Consulting / Agency
1259,34,M,Hamburg,10,Middle,65000,English,50-100,Product
1260,28,M,Berlin,2,Middle,95000,Deutsch,1000+,Consulting / Agency
1262,33,M,Berlin,2,Junior,36000,Deutsch,100-1000,Product
1263,31,M,Munich,8,Senior,73000,English,100-1000,Product
1265,30,M,Berlin,8,Middle,90000,English,100-1000,Product
1266,35,M,Berlin,7,Middle,57000,English,100-1000,Startup
1268,30,M,Berlin,4,Senior,66000,English,100-1000,Startup
1269,26,M,Frankfurt,1,Junior,44000,Deutsch,1000+,Consulting / Agency
1272,23,M,Cologne,1,Junior,30000,Deutsch,up to 10,Startup
1273,26,M,Amsterdam,5,Middle,85000,English,100-1000,Product
1274,44,M,Hamburg,15,Senior,100000,Deutsch,100-1000,Product
1275,30,M,Frankfurt,4,Senior,80000,English,50-100,Product
1276,37,M,Berlin,15,Senior,80000,English,100-1000,Startup
1277,46,M,Hamburg,11,Senior,60000,Deutsch,10-50,Product
1278,28,M,Munich,4,Middle,60000,English,10-50,Consulting / Agency
1280,24,M,Brussels,2,Junior,33000,French,1000+,Consulting / Agency
1283,27,M,Berlin,5,Senior,62000,English,100-1000,Consulting / Agency
1284,39,M,Berlin,5,Senior,85000,Deutsch,,
1285,31,M,Berlin,5,Middle,55000,Deutsch,50-100,Product
1286,40,F,Berlin,10,Senior,68000,English,10-50,Startup
1287,35,M,Berlin,8,Senior,85000,English,1000+,Product
1288,36,M,Bielefeld,16,Senior,72000,English,10-50,Product
1289,30,F,Berlin,1,Junior,34000,English,10-50,Startup
1290,27,M,Berlin,8,Senior,70000,English,1000+,Product
1291,30,M,Berlin,8,Senior,63600,English,1000+,Product
1292,30,M,Berlin,9,Senior,79000,English,100-1000,Startup
1294,34,M,Berlin,6,Senior,60000,Deutsch,50-100,Product
1295,40,F,Munich,15,Middle,68000,English,100-1000,Product
1296,40,F,Munich,15,Middle,68000,English,100-1000,Product
1297,33,M,Berlin,11,Senior,91000,English,100-1000,Product
1298,35,M,Berlin,12,Senior,90000,English,up to 10,Startup
1300,34,F,Berlin,2,Middle,65000,English,1000+,Consulting / Agency
1301,42,M,Berlin,20,Senior,95000,English,1000+,Product
1302,30,F,Berlin,5,Middle,65000,English,1000+,Product
1303,30,M,Berlin,10,Senior,75000,English,100-1000,Startup
1304,30,M,Berlin,6,Senior,70000,English,10-50,Product
1305,32,F,Berlin,7,Middle,55000,English,1000+,Product
1306,29,F,Berlin,2,Middle,40000,English,100-1000,
1308,29,M,Berlin,8,Senior,72000,English,1000+,Startup
1309,29,M,Berlin,7,Middle,60000,English,100-1000,Product
1310,24,M,Berlin,5,Senior,63000,English,100-1000,Product
1311,37,M,Berlin,15,Senior,85000,English,10-50,Startup
1312,26,M,Frankfurt,6,Middle,76000,Deutsch,100-1000,Product
1313,37,M,Dublin,15,Senior,98000,English,1000+,Product
1314,36,M,Berlin,10,Senior,62000,Deutsch,1000+,Product
1315,33,M,Berlin,3,Senior,63000,English,,Product
1316,30,M,Berlin,10,Senior,73000,English,1000+,Product
1317,35,F,Berlin,2,Junior,50000,English,100-1000,Startup
1318,23,M,Jyvaskyla,2,Middle,36000,English,100-1000,Product
1319,28,M,Berlin,7,Senior,80000,English,100-1000,Product
1320,31,M,Berlin,8,Senior,91000,English,1000+,Product
1321,28,M,Berlin,6,Senior,70000,English,50-100,Product
1322,27,M,Berlin,5,Senior,77000,English,1000+,Product
1324,32,M,Stuttgart,12,Senior,69000,Deutsch,1000+,Product
1325,35,M,Berlin,15,Senior,35000,English,1000+,Product
1326,25,M,Berlin,5,Senior,60000,English,100-1000,Product
1327,35,M,Berlin,15,Senior,75000,English,100-1000,Product
1328,34,F,Munich,9,Senior,75000,English,50-100,Startup
1329,29,F,Berlin,3,Middle,57000,Deutsch,100-1000,Product
1330,34,M,Frankfurt,3,Middle,50000,English,1000+,Product
1331,35,F,Berlin,5,Senior,71000,English,10-50,Startup
1332,34,M,Berlin,10,Senior,66000,English,1000+,Bodyshop / Outsource
1333,39,M,Berlin,3,Senior,63000,English,100-1000,Startup
1336,34,M,Berlin,4,Senior,67000,English,100-1000,Product
1337,27,M,Munich,7,Senior,90000,English,100-1000,Product
1338,30,M,Munich,10,Senior,80000,English,1000+,Product
1339,32,F,Munich,5,Middle,70000,English,50-100,Startup
1340,35,M,Berlin,8,Senior,65000,Deutsch,50-100,Product
1341,29,M,Frankfurt,1,Senior,61800,Deutsch,1000+,Consulting / Agency
1342,34,M,Berlin,3,Middle,50000,English,100-1000,Product
1343,27,M,Berlin,4,Middle,58000,English,100-1000,Product
1344,27,M,Berlin,5,Middle,60000,Deutsch,100-1000,Product
1345,34,M,Hamburg,9,Senior,100000,English,100-1000,Consulting / Agency
1346,33,M,Berlin,11,Senior,70000,English,10-50,Startup
1348,45,F,Berlin,15,Senior,65000,English,100-1000,Startup
1349,35,M,Munich,14,Senior,68000,English,100-1000,Consulting / Agency
1350,33,F,Berlin,1,Middle,50000,English,100-1000,Startup
1351,32,F,Berlin,8,Senior,42000,English,100-1000,Product
1353,27,F,Düsseldorf,1,Junior,60000,English,1000+,Product
1354,36,M,Hamburg,5,Lead,85000,Deutsch,10-50,Consulting / Agency
1356,42,M,Munich,7,Middle,63000,English,100-1000,Product
1357,32,M,Berlin,2,Middle,53900,English,1000+,Product
1358,37,M,Munich,14,Senior,72000,English,100-1000,Product
1359,32,M,Berlin,10,Senior,110000,Deutsch,100-1000,Consulting / Agency
1360,42,M,Frankfurt,18,Senior,83000,Deutsch,1000+,Consulting / Agency
1361,37,M,Hamburg,12,Senior,72000,English,100-1000,Product
1362,34,M,Munich,12,Senior,73000,English,1000+,Product
1365,32,M,Berlin,12,Senior,75000,English,100-1000,Product
1366,33,M,Zurich,6,Senior,110000,Deutsch,100-1000,Consulting / Agency
1367,27,M,Berlin,6,Senior,70000,English,100-1000,Product
1368,48,M,Berlin,18,,55000,English,100-1000,Product
1369,28,F,Berlin,1,Junior,50000,Deutsch,10-50,Consulting / Agency
1370,32,M,Berlin,10,Lead,83000,English,1000+,Product
1371,26,M,Munich,3,Middle,56000,English,,Product
1372,33,F,Hamburg,12,Senior,65000,English,100-1000,Product
1373,31,F,Berlin,2,Middle,62000,English,100-1000,Startup
1374,30,M,Berlin,8,Senior,60000,English,100-1000,Product
1375,35,M,Berlin,16,Senior,107000,English,100-1000,Product
1376,32,M,Berlin,10,Senior,78000,English,50-100,Consulting / Agency
1377,38,M,Berlin,16,Senior,75000,English,1000+,Product
1378,28,M,Berlin,4,Senior,75000,English,100-1000,Product
1380,34,M,Lingen,8,Senior,65000,Deutsch,100-1000,Product
1381,31,M,Berlin,9,Senior,65000,English,50-100,Product
1382,30,M,Munich,9,Senior,68000,English,1000+,Product
1385,33,M,Berlin,14,Senior,52000,English,1000+,Product
1386,37,M,Berlin,13,Senior,68000,English,50-100,Product
1391,28,M,Munich,3,Senior,63000,English,1000+,Product
1392,28,M,Berlin,8,Lead,82000,English,100-1000,Product
1393,26,M,Munich,5,Middle,50000,English,1000+,Product
1395,39,M,Berlin,9,Middle,64800,English,100-1000,Consulting / Agency
1396,28,F,Berlin,6,Senior,55000,English,10-50,Product
1397,48,M,Berlin,15,Senior,65000,Deutsch,100-1000,Bodyshop / Outsource
1398,35,M,Berlin,7,Middle,100000,English,100-1000,Product
1401,30,F,Berlin,7,Middle,66000,English,1000+,Product
1402,38,M,Dresden,8,Senior,55000,Deutsch,100-1000,Product
1404,27,F,Berlin,6,Middle,70000,English,1000+,Product
1405,37,M,Lugano,3,Middle,84000,Italian,10-50,Product
1406,30,M,Berlin,2,Middle,51072,Deutsch,100-1000,Consulting / Agency
1409,35,M,Frankfurt,16,Senior,110000,English,100-1000,Product
1410,34,M,Berlin,14,Senior,86000,English,50-100,Startup
1412,38,F,Stuttgart,14,Senior,82000,Deutsch,100-1000,Product
1414,32,F,Berlin,13,Senior,64000,English,100-1000,Startup
1415,29,M,Munich,4,Senior,74000,English,100-1000,Product
1416,31,F,Berlin,1,Middle,59000,English,100-1000,Consulting / Agency
1417,37,M,Cologne,4,Middle,53000,Deutsch,10-50,Consulting / Agency
1418,32,M,Berlin,10,Senior,103000,English,1000+,Product
1419,27,M,Berlin,7,Senior,75000,English,10-50,Product
1420,25,M,Berlin,8,Senior,110000,English,1000+,Product
1421,34,M,Berlin,6,Middle,65000,English,1000+,Product
1422,30,M,Berlin,9,Senior,85000,English,1000+,Product
1424,32,F,Berlin,1,Junior,45600,Deutsch,10-50,Startup
1425,30,F,Berlin,7,Middle,66340,English,1000+,Product
1426,24,M,Moscow,2,Middle,30000,Russian,100-1000,Product
1427,28,M,Berlin,5,Senior,95000,Deutsch,100-1000,Product
1428,32,M,Frankfurt,10,Middle,68000,English,50-100,Startup
1429,38,M,Frankfurt,15,Senior,77000,Deutsch,1000+,Product
1431,29,M,Berlin,3,Middle,48000,English,100-1000,Startup
1432,29,F,Hamburg,4,Middle,60000,English,100-1000,Product
1433,33,M,Cologne,3,Middle,50000,English,10-50,Startup
1434,35,M,Stuttgart,6,Senior,60600,English,100-1000,Product
1435,32,M,Berlin,9,Lead,107000,English,1000+,Product
1437,35,M,Berlin,10,Senior,84000,English,100-1000,Product
1438,38,M,Walldorf,17,Senior,79000,Deutsch,1000+,Product
1439,30,M,Berlin,7,Senior,87000,English,50-100,Startup
1440,34,M,Munich,8,Lead,90000,English,100-1000,Product
1442,31,M,Berlin,3,Junior,48000,Deutsch,50-100,Consulting / Agency
1443,36,M,Berlin,6,Middle,50000,Deutsch,100-1000,Product
1444,31,M,Berlin,10,Senior,75000,English,1000+,Product
1445,30,M,Cologne,5,Middle,73000,English,1000+,Product
1446,29,M,Cologne,4,Middle,52000,English,1000+,
1447,34,F,Berlin,2,Junior,45000,Deutsch,50-100,Product
1448,31,F,Berlin,1,Junior,45000,English,10-50,Startup
1449,33,M,Berlin,8,Senior,70000,English,10-50,Startup
1450,38,M,Berlin,10,Senior,75000,English,1000+,Product
1451,35,M,Berlin,16,Senior,95000,English,100-1000,Product
1452,21,M,Moscow,4,Middle,28300,English,100-1000,Consulting / Agency
1453,43,M,Schleswig-Holstein,25,Senior,93000,Deutsch,100-1000,Product
1454,33,M,Berlin,3,Middle,77000,English,100-1000,Startup
1455,30,M,Berlin,4,Middle,51600,English,10-50,Consulting / Agency
1456,35,F,Braunschweig,5,Senior,45000,Deutsch,100-1000,Bodyshop / Outsource
1457,33,M,Berlin,4,Middle,65000,English,100-1000,Startup
1458,28,F,Hamburg,1,Junior,50000,English,10-50,Startup
1459,41,M,Munich,12,Senior,82000,English,1000+,Product
1460,29,M,Munich,2,Middle,63000,Deutsch,1000+,Product
1461,24,M,Berlin,3,Middle,56000,English,50-100,Product
1463,30,M,Berlin,8,Senior,65000,Deutsch,10-50,Startup
1464,34,F,Berlin,3,Middle,57000,English,100-1000,Product
1465,29,M,Berlin,3,Middle,51000,English,50-100,Startup
1466,35,M,Berlin,13,Senior,75000,English,100-1000,Product
1467,22,M,Amsterdam,5,Middle,82000,English,1000+,Product
1468,35,M,Amsterdam,16,Senior,77500,English,1000+,Bank
1469,35,M,Amsterdam,10,Senior,74400,English,10-50,Product
1470,32,M,Amsterdam,2,Middle,70000,English,1000+,Bodyshop / Outsource
1471,27,M,Amsterdam,5,Middle,58000,English,100-1000,Product
1472,32,M,Amsterdam,11,Senior,65000,English,10-50,Startup
1473,43,M,Kaiserslautern,3,Middle,62500,English,1000+,University
1474,33,M,Amsterdam,10,Middle,69000,English,100-1000,Product
1475,33,M,Amsterdam,9,Middle,81000,English,1000+,Product
1476,35,M,Amsterdam,10,Senior,65000,English,1000+,Product
1477,31,M,Berlin,3,Middle,48000,English,100-1000,Product
1478,29,M,Berlin,7,Middle,60000,English,1000+,
1479,23,F,Amsterdam,3,Middle,60000,English,1000+,Product
1480,33,M,Munich,12,Senior,54000,English,up to 10,Startup
1481,30,M,Amsterdam,10,Middle,87500,English,1000+,Product
1482,33,M,Eindhoven,8,Senior,76000,English,1000+,Product
1483,38,M,Düsseldorf,3,Middle,78000,English,1000+,Product
1484,24,M,Saint Petersburg,4,Middle,30000,Russian,100-1000,Bodyshop / Outsource
1485,28,M,Amsterdam,6,Middle,62000,English,50-100,Startup
1486,30,M,Amsterdam,8,Senior,80000,English,50-100,Product
1487,32,M,Berlin,2,Junior,48000,English,50-100,Product
1489,30,M,Amsterdam,9,Senior,58500,English,100-1000,Product
1490,35,F,Amsterdam,13,Senior,64000,English,1000+,Product
1491,30,F,Amsterdam,7,Middle,62000,English,10-50,Startup
1492,29,M,Amsterdam,8,Senior,70000,English,1000+,Product
1493,35,M,Amsterdam,7,Senior,72000,English,50-100,Product
1494,30,M,Berlin,9,Senior,105000,English,1000+,Product
1495,33,M,Munich,5,Middle,72000,English,100-1000,Startup
1496,35,M,Eindhoven ,10,Senior,62000,English,1000+,Bodyshop / Outsource
1498,29,M,Amsterdam,11,Senior,90000,English,10-50,Product
1499,33,M,Moscow,12,Senior,30000,Russian,10-50,Startup
1500,27,M,Amsterdam,4,Middle,78000,English,100-1000,Product
1501,34,M,Amsterdam,12,Senior,75000,English,100-1000,Product
1502,37,M,Eindhoven,16,Senior,83400,English,1000+,Product
1503,29,M,Amsterdam,9,Senior,67000,English,1000+,Product
1504,27,M,Amsterdam,5,Middle,65000,English,100-1000,Product
1505,27,M,Amsterdam,4,Middle,62000,English,100-1000,Product
1506,22,F,Amsterdam,2,Junior,43000,English,1000+,
1507,33,M,Berlin,10,Senior,87000,English,10-50,Bodyshop / Outsource
1509,31,M,Berlin,10,Senior,78000,English,1000+,Product
1510,27,M,Stuttgart,6,Senior,48000,English,up to 10,Product
1511,32,M,Hilversum,10,Senior,83000,English,50-100,Product
1512,28,M,Hamburg,5,Senior,67000,Deutsch,1000+,Product
1513,32,M,Amsterdam,12,Middle,82000,English,1000+,Product
1516,30,M,Berlin,6,Senior,75000,English,100-1000,Startup
1517,35,M,Berlin,11,,80000,English,10-50,Product
1518,27,F,Amsterdam,8,Senior,87000,English,1000+,Product
1519,33,F,Hamburg,5,Middle,58000,Deutsch,100-1000,Consulting / Agency
1520,27,F,Berlin,5,Middle,50000,Deutsch,100-1000,Consulting / Agency
1521,33,M,Hamburg,2,Middle,70000,Deutsch,1000+,Product
1522,32,M,Munich,11,Senior,69300,Deutsch,100-1000,Product
1523,31,M,Munich,11,Senior,75000,English,50-100,Startup
1525,36,M,Berlin,7,Senior,70000,English,50-100,Startup
1526,32,M,Frankfurt,0,Junior,55000,English,50-100,Consulting / Agency
1527,30,M,Amsterdam,6,Middle,70000,English,1000+,Product
1529,26,M,Amsterdam,6,Senior,68000,English,1000+,Product
1530,37,M,Amsterdam,18,Middle,82000,English,1000+,Product
1531,48,M,Berlin,16,Senior,67000,English,1000+,
1533,30,M,Wroclaw,8,Middle,53000,English,1000+,Bodyshop / Outsource
1534,24,M,Amsterdam,4,Middle,72000,English,1000+,Product
1535,35,M,Stuttgart,5,Senior,72000,English,1000+,Bodyshop / Outsource
1536,35,M,Amsterdam,7,Lead,65000,English,1000+,Bodyshop / Outsource
1537,29,M,Amsterdam,8,Senior,74000,English,1000+,Product
1538,34,M,Amsterdam,10,Senior,60000,English,100-1000,Product
1539,34,M,Berlin,2,Senior,63600,Deutsch,50-100,Product
1540,24,F,Warsaw,1,Junior,72000,Polish,1000+,Bank
1541,28,M,Amsterdam,6,Senior,80500,English,1000+,Consulting / Agency
1544,23,F,Moscow,4,Middle,32000,Russian,1000+,Product
1545,32,M,Düsseldorf,7,Senior,62000,English,1000+,Product
1546,25,F,Moscow,5,Senior,35300,Russian,50-100,Product
1547,40,M,Amsterdam,20,Middle,78000,English,1000+,Product
1548,30,M,Gothenburg,8,Senior,40146,English,10-50,Product
1549,33,M,Zurich,6,Senior,90000,English,50-100,Product
1550,31,F,Amsterdam,5,Senior,67000,English,100-1000,Product
1551,30,M,Amsterdam,10,Middle,80000,English,50-100,Product
1553,30,F,Berlin,6,Senior,63000,English,1000+,Product
1554,29,M,Berlin,7,Senior,90000,English,1000+,Product
1555,31,M,Frankfurt,7,Middle,74200,English,1000+,Product
1556,29,M,Amsterdam,8,Senior,86000,English,1000+,Product
1558,24,F,Warsaw,1,Junior,48000,Polish,1000+,Bank
1559,37,M,Almere,10,Senior,57600,English,10-50,Product
1560,26,M,Limassol,7,Senior,63600,Russian,50-100,Product
1561,23,M,Moscow,3,Middle,36819,Russian,100-1000,Product
1563,34,M,Berlin,2,Senior,63600,Deutsch,50-100,Product
1564,35,F,Hamburg,3,Middle,49000,Deutsch,100-1000,Consulting / Agency
1565,33,M,Munich,5,Senior,78000,English,50-100,Startup
1567,29,M,Stockholm,6,Senior,60000,English,1000+,Product
1568,23,M,Tampere,1,Junior,36000,English,,
1569,39,M,Amsterdam,16,Senior,65000,English,50-100,Product
1570,24,F,Cologne,1,Junior,49000,English,up to 10,Consulting / Agency
1571,30,M,Munich,9,Senior,112000,Deutsch,100-1000,Consulting / Agency
1572,28,M,Frankfurt,6,Senior,87000,Deutsch,100-1000,Startup
1573,35,M,Berlin,10,Senior,68000,English,100-1000,Product
1574,32,M,Munich,3,Middle,55000,English,1000+,Product
1576,38,M,Berlin,15,Middle,52000,English,100-1000,Product
1577,33,M,Amsterdam,15,Senior,80000,English,1000+,Consulting / Agency
1579,25,M,Amsterdam,2,Junior,52500,English,1000+,Bank
1580,33,M,Munich,11,Senior,68000,English,100-1000,Product
1582,40,M,Munich,3,Junior,52000,Deutsch,100-1000,Consulting / Agency
1583,35,M,Munich,11,Senior,105000,English,1000+,Product
1584,41,M,Munich,20,Senior,75000,English,1000+,Product
1585,31,M,Düsseldorf,11,Senior,82500,English,1000+,Product
1586,34,F,Kyiv,13,Senior,38400,English,100-1000,University
1589,37,M,Berlin,3,Middle,54000,English,50-100,Startup
1590,31,M,Berlin,8,Senior,98000,English,1000+,Product
1591,33,M,Munich,8,Senior,68000,English,100-1000,Product
1593,42,M,Munich,20,Senior,63000,Deutsch,up to 10,Product
1594,25,M,Berlin,3,Middle,30000,Deutsch,10-50,Startup
1596,35,M,Munich,5,Middle,60000,English,100-1000,Product
1597,30,M,Frankfurt,9,Senior,95000,Deutsch,100-1000,Product
1598,33,M,Amsterdam,13,Senior,90000,English,50-100,Startup
1599,33,F,Munich,5,Middle,55000,English,50-100,Startup
1600,26,M,Berlin,2,Junior,48000,English,1000+,Product
1601,32,M,Berlin,10,Senior,88000,English,100-1000,Product
1602,30,M,Munich,2,Middle,68500,Deutsch,1000+,Product
1604,34,M,Berlin,13,Senior,66000,Deutsch,1000+,Consulting / Agency
1605,52,M,Cologne,30,Senior,60000,Deutsch,1000+,Consulting / Agency
1606,31,M,Berlin,10,Senior,105000,English,1000+,Product
1607,28,M,Berlin,7,Senior,72000,English,1000+,Product
1608,35,M,Munich,11,Senior,65000,English,10-50,Startup
1609,29,M,Berlin,4,Senior,55000,English,100-1000,Product
1610,37,M,Amsterdam,13,,107000,English,100-1000,
1611,34,M,Frankfurt,4,Middle,90000,Deutsch,10-50,Product
1612,45,M,Munich,19,Senior,73000,Deutsch,100-1000,Product
1613,31,F,Berlin,5,Senior,75000,English,100-1000,Product
1614,32,M,Frankfurt,2,Middle,68000,Deutsch,1000+,Consulting / Agency
1615,32,M,Berlin,10,Senior,75000,English,10-50,Startup
1617,29,M,Rotterdam,1,Middle,42000,English,10-50,Consulting / Agency
1618,41,M,Berlin,25,Senior,72000,English,50-100,Startup
1619,36,M,Antwerpen,15,Middle,36000,English,100-1000,Bodyshop / Outsource
1620,42,M,Tallinn,19,Senior,58000,English,100-1000,Product
1621,41,M,Amsterdam,17,Senior,75000,English,100-1000,Startup
1622,33,M,Berlin,11,Senior,75000,English,100-1000,Product
1623,38,M,Berlin,11,Senior,78000,English,50-100,Startup
1624,33,F,Munich,3,Junior,60000,Deutsch,1000+,Product
1625,35,M,Munich,13,Senior,78000,English,50-100,Consulting / Agency
1626,30,M,Berlin,2,Middle,55000,English,100-1000,Product
1627,41,F,Munich,18,Senior,109000,Deutsch,1000+,Product
1628,30,M,Berlin,10,Senior,78000,English,100-1000,Product
